Tanggal;Temperatur minimum (°C);Temperatur maksimum (°C);Temperatur rata-rata (°C);Kelembapan rata-rata (%);Curah hujan (mm);Lamanya penyinaran matahari (jam);Kecepatan angin maksimum (m/s);Kecepatan angin rata-rata (m/s);Label;season_Musim Hujan
2008-01-01 00.00.00;22;27.8;24.4;96;14.5;0;2;1;0;1
2008-01-02 00.00.00;22;25.7;23.8;94;82.1;0;3;1;0;1
2008-01-03 00.00.00;22;26.4;24.3;90;19.7;0;3;0;0;1
2008-01-04 00.00.00;22;27.1;23.6;94;32.5;0;1;2;0;1
2008-01-05 00.00.00;22;30.3;25.5;80;12;5.3;5;0;0;1
2008-01-06 00.00.00;20;31.4;25.4;75;0.2;7.4;2;2;0;1
2008-01-07 00.00.00;21;31.5;25.7;81;0;4.3;2;2;0;1
2008-01-08 00.00.00;21;32.5;25.1;84;0.2;6.8;2;1;0;1
2008-01-09 00.00.00;21;33.1;26;76;5.2;8;3;1;0;1
2008-01-10 00.00.00;22;32.7;26.3;76;0;7.2;2;1;0;1
2008-01-11 00.00.00;24;33.8;26.7;84;9.8;6.6;5;1;0;1
2008-01-12 00.00.00;22;32.2;26.3;76;0;6.2;2;1;0;1
2008-01-13 00.00.00;21;32.6;25.6;81;0;5.4;2;1;0;1
2008-01-14 00.00.00;22;30.4;25.5;85;0;3.1;1;1;0;1
2008-01-15 00.00.00;22;29.1;24.6;91;2.6;2;1;1;0;1
2008-01-16 00.00.00;23;29.5;25.7;86;2.4;3.1;4;0;0;1
2008-01-17 00.00.00;22;31.9;25.9;84;4.5;5;3;1;0;1
2008-01-18 00.00.00;21;32.6;25.9;82;0;7;4;1;0;1
2008-01-19 00.00.00;21;31.8;25.6;81;0;5.1;5;2;0;1
2008-01-20 00.00.00;21;32.2;26;80;0;6.4;4;1;0;1
2008-01-21 00.00.00;21;32.6;25.5;82;0;5.6;2;1;0;1
2008-01-22 00.00.00;22;32.7;27;78;0;7.8;3;1;0;1
2008-01-23 00.00.00;22;31;25.8;88;26.5;3.7;2;2;0;1
2008-01-24 00.00.00;22;31.6;26.5;84;0;5.9;2;0;0;1
2008-01-25 00.00.00;23;33.2;27.2;79;0;7.8;2;0;0;1
2008-01-26 00.00.00;24;32.2;26.8;86;14;6.9;2;1;0;1
2008-01-27 00.00.00;23;32.2;26.6;85;10;7.2;4;1;0;1
2008-01-28 00.00.00;23;31.6;26.1;88;0;4.7;3;1;0;1
2008-01-29 00.00.00;23;31.7;25.5;90;3.6;5.4;3;1;0;1
2008-01-30 00.00.00;22;30.7;25.1;92;16;3.8;3;1;0;1
2008-01-31 00.00.00;24;30.8;26;88;4.8;2.8;2;0;0;1
2008-02-01 00.00.00;23;24.6;23.1;99;32;0;2;1;0;1
2008-02-02 00.00.00;22;30.6;25.5;88;75.5;3.7;3;0;0;1
2008-02-03 00.00.00;21;30;25.2;82;11.1;4.4;5;1;0;1
2008-02-04 00.00.00;22;31.6;26.3;77;0.2;6.6;4;2;0;1
2008-02-05 00.00.00;23;31.1;25.9;83;6;7.7;3;2;0;1
2008-02-06 00.00.00;23;30;25.6;88;0.5;3.9;2;1;0;1
2008-02-07 00.00.00;23;29.6;26.1;85;4.5;2.5;3;1;0;1
2008-02-08 00.00.00;23;27.4;24.3;94;3.2;0;2;2;0;1
